
===== SHEET: gl_get_glider_data_slocum__2023  (18441x9) =====
DEPLOYMENT	GLIDER PARAMETER	AVAILABLE DATA	JSON FILE	EGO PARAMETER	EGO SENSOR	EGO SENSOR_MAKER	EGO SENSOR_MODEL	EGO SENSOR_SERIAL_NO
ammonite_20070118	c_battroll	0						
ammonite_20070118	c_bb2c_num_fields_to_send	1						
ammonite_20070118	c_bb2c_on	1						
ammonite_20070118	c_bb2f_num_fields_to_send	1						
ammonite_20070118	c_bb2f_on	1						
ammonite_20070118	c_bb2fls_num_fields_to_send	1						
ammonite_20070118	c_bb2fls_on	1						
ammonite_20070118	c_bb2flsv2_num_fields_to_send	1						
ammonite_20070118	c_bb2flsv2_on	1						
ammonite_20070118	c_bb2lss_num_fields_to_send	1						
ammonite_20070118	c_bb2lss_on	1						
ammonite_20070118	c_bb3slo_num_fields_to_send	1						
ammonite_20070118	c_bb3slo_on	1						
ammonite_20070118	c_bb3slov2_num_fields_to_send	1						
ammonite_20070118	c_bb3slov2_on	1						
ammonite_20070118	c_bb3slov3_num_fields_to_send	1						
ammonite_20070118	c_bb3slov3_on	1						
ammonite_20070118	c_bbfl2s_num_fields_to_send	1						
ammonite_20070118	c_bbfl2s_on	1						
ammonite_20070118	c_console_on	1						
ammonite_20070118	c_console_to_science	1						
ammonite_20070118	c_ctd41cp_num_fields_to_send	1						
ammonite_20070118	c_de_oil_vol	1						
ammonite_20070118	c_de_oil_vol_measuring_delay	1						
ammonite_20070118	c_de_oil_vol_recall	1						
ammonite_20070118	c_de_oil_vol_time	1						
ammonite_20070118	c_de_pump	1						
ammonite_20070118	c_de_recall	1						
ammonite_20070118	c_de_updown	1						
ammonite_20070118	c_depth	1						
ammonite_20070118	c_fin	1						
ammonite_20070118	c_fl3slo_num_fields_to_send	1						
ammonite_20070118	c_fl3slo_on	1						
ammonite_20070118	c_fl3slov2_num_fields_to_send	1						
ammonite_20070118	c_fl3slov2_on	1						
ammonite_20070118	c_flntu_num_fields_to_send	1						
ammonite_20070118	c_flntu_on	1						
ammonite_20070118	c_goto_list_reread_mafile	1						
